name,iso_country,iso_region,scheduled_service,iata_code
Raja Haji Fisabilillah International Airport,ID,ID-RI,yes,TNJ
Muko Muko Airport,ID,ID-BE,yes,MPC
Halim Perdanakusuma International Airport,ID,ID-JK,yes,HLP
Soekarno-Hatta International Airport,ID,ID-BT,yes,CGK
Radin Inten II International Airport,ID,ID-LA,yes,TKG
Binaka Airport,ID,ID-SU,yes,GNS
Aek Godang Airport,ID,ID-SU,yes,AEG
Kualanamu International Airport,ID,ID-SU,yes,KNO
Silangit Airport,ID,ID-SU,yes,DTB
Dr. Ferdinand Lumban Tobing Airport,ID,ID-SU,yes,FLZ
Alas Leuser Airport,ID,ID-AC,yes,LSR
H A S Hanandjoeddin International Airport,ID,ID-BB,yes,TJQ
Nanga Pinoh Airport,ID,ID-KB,yes,NPO
Rahadi Osman Airport,ID,ID-KB,yes,KTG
Ranai-Natuna Airport,ID,ID-RI,yes,NTX
Supadio Airport,ID,ID-KB,yes,PNK
Pangsuma Airport,ID,ID-KB,yes,PSU
Sultan Thaha Airport,ID,ID-JA,yes,DJB
Muara Bungo Airport,ID,ID-JA,yes,BUU
Depati Amir Airport,ID,ID-BB,yes,PGK
Fatmawati Soekarno Airport,ID,ID-BE,yes,BKS
Sultan Mahmud Badaruddin II Airport,ID,ID-SS,yes,PLM
Pendopo Airport,ID,ID-SS,yes,PDO
Minangkabau International Airport,ID,ID-SB,yes,PDG
Cut Nyak Dhien Airport,ID,ID-AC,yes,MEQ
Lasikin Airport,ID,ID-AC,yes,LKI
Rembele Airport,ID,ID-AC,yes,TXE
Malikus Saleh Airport,ID,ID-AC,yes,LSW
Sultan Iskandar Muda International Airport,ID,ID-AC,yes,BTJ
Tioman Airport,MY,MY-06,yes,TOD
Sultan Abdul Halim Airport,MY,MY-02,yes,AOR
Sultan Ismail Petra Airport,MY,MY-03,yes,KBR
Kuantan Airport,MY,MY-06,yes,KUA
Sultan Azlan Shah Airport,MY,MY-08,yes,IPH
Senai International Airport,MY,MY-01,yes,JHB
Kuala Lumpur International Airport,MY,MY-10,yes,KUL
Langkawi International Airport,MY,MY-02,yes,LGK
Sultan Mahmud Airport,MY,MY-11,yes,TGG
Penang International Airport,MY,MY-07,yes,PEN
Pulau Pangkor Airport,MY,MY-08,yes,PKG
Sultan Abdul Aziz Shah International Airport,MY,MY-10,yes,SZB
Decatur Shores Airport,US,US-WA,yes,DTR
Mathilda Batlayeri Airport,ID,ID-MA,yes,SXK
Presidente Nicolau Lobato International Airport,TL,TL-DI,yes,DIL
AA Bere Tallo (Haliwen) Airport,ID,ID-NT,yes,ABU
Larantuka Gewayentana Airport,ID,ID-NT,yes,LKA
Yuvai Semaring Airport,ID,ID-KU,yes,LBW
Bontang Airport,ID,ID-KI,yes,BXT
Long Apung Airport,ID,ID-KU,yes,LPU
San Juan /Uganik/ Seaplane Base,US,US-AK,yes,UGI
Seletar Airport,SG,SG-02,yes,XSP
Singapore Changi Airport,SG,SG-04,yes,SIN
Wuzhou Xijiang Airport,CN,CN-45,yes,WUZ
New Barag Right Banner Baogede Airport,CN,CN-15,yes,XRQ
Albany Airport,AU,AU-WA,yes,ALH
Lyall Harbour Seaplane Base,CA,CA-BC,yes,YAJ
Maple Bay Seaplane Base,CA,CA-BC,yes,YAQ
Argyle Airport,AU,AU-WA,yes,GYL
Armidale Airport,AU,AU-NSW,yes,ARM
Aurukun Airport,AU,AU-QLD,yes,AUU
Ayers Rock Connellan Airport,AU,AU-NT,yes,AYQ
Barcaldine Airport,AU,AU-QLD,yes,BCI
Alice Springs Airport,AU,AU-NT,yes,ASP
Badu Island Airport,AU,AU-QLD,yes,BDD
Brisbane International Airport,AU,AU-QLD,yes,BNE
Gold Coast Airport,AU,AU-QLD,yes,OOL
Blackall Airport,AU,AU-QLD,yes,BKQ
Cairns International Airport,AU,AU-QLD,yes,CNS
Charleville Airport,AU,AU-QLD,yes,CTL
Bendigo Airport,AU,AU-VIC,yes,BXG
Birdsville Airport,AU,AU-QLD,yes,BVI
Broken Hill Airport,AU,AU-NSW,yes,BHQ
Hamilton Island Airport,AU,AU-QLD,yes,HTI
Bedourie Airport,AU,AU-QLD,yes,BEU
Bourke Airport,AU,AU-NSW,yes,BRK
Burketown Airport,AU,AU-QLD,yes,BUC
Busselton Margaret River Regional Airport,AU,AU-WA,yes,BQB
Mount Isa Airport,AU,AU-QLD,yes,ISA
Mackay Airport,AU,AU-QLD,yes,MKY
Ballina Byron Gateway Airport,AU,AU-NSW,yes,BNK
Boigu Island Airport,AU,AU-QLD,yes,GIC
Oakey Army Aviation Centre,AU,AU-QLD,yes,OKY
Boulia Airport,AU,AU-QLD,yes,BQL
Yibin Wuliangye Airport,CN,CN-51,yes,YBP
Proserpine Whitsunday Coast Airport,AU,AU-QLD,yes,PPP
Telegraph Harbour Seaplane Base,CA,CA-BC,yes,YBQ
Rockhampton Airport,AU,AU-QLD,yes,ROK
Broome International Airport,AU,AU-WA,yes,BME
Sunshine Coast Airport,AU,AU-QLD,yes,MCY
Bathurst Airport,AU,AU-NSW,yes,BHS
Townsville Airport / RAAF Base Townsville,AU,AU-QLD,yes,TSV
Blackwater Airport,AU,AU-QLD,yes,BLT
Bundaberg Airport,AU,AU-QLD,yes,BDB
Weipa Airport,AU,AU-QLD,yes,WEI
Toowoomba Wellcamp Airport,AU,AU-QLD,yes,WTB
Carnarvon Airport,AU,AU-WA,yes,CVQ
Cobar Airport,AU,AU-NSW,yes,CAZ
Coober Pedy Airport,AU,AU-SA,yes,CPD
Coconut Island Airport,AU,AU-QLD,yes,CNC
Cloncurry Airport,AU,AU-QLD,yes,CNJ
Ceduna Airport,AU,AU-SA,yes,CED
