name,iso_country,iso_region,scheduled_service,iata_code
Utirik Airport,MH,MH-UTI,yes,UTK
Nunapitchuk Airport,US,US-AK,yes,NUP
Port Protection Seaplane Base,US,US-AK,yes,PPV
Blakely Island Airport,US,US-WA,yes,BYW
Atmautluak Airport,US,US-AK,yes,ATT
Pedro Bay Airport,US,US-AK,yes,PDB
Ouzinkie Airport,US,US-AK,yes,KOZ
Tununak Airport,US,US-AK,yes,TNK
Hyder Seaplane Base,US,US-AK,yes,WHD
Minto Al Wright Airport,US,US-AK,yes,MNT
Aleknagik / New Airport,US,US-AK,yes,WKK
Ketchikan Harbor Seaplane Base,US,US-AK,yes,WFB
Lake Brooks Seaplane Base,US,US-AK,yes,BKF
New York Skyports Inc Seaplane Base,US,US-NY,yes,NYS
Center Island Airport,US,US-WA,yes,CWS
Tatitlek Airport,US,US-AK,yes,TEK
Stuart Island Airpark,US,US-WA,yes,SSW
Waldron Airstrip,US,US-WA,yes,WDN
Whale Pass Seaplane Float Harbor Facility,US,US-AK,yes,WWP
Chuathbaluk Airport,US,US-AK,yes,CHU
Levelock Airport,US,US-AK,yes,KLL
Tuntutuliak Airport,US,US-AK,yes,WTL
Twin Hills Airport,US,US-AK,yes,TWA
Chignik Lake Airport,US,US-AK,yes,KCQ
Afutara Aerodrome,SB,SB-ML,yes,AFT
Uru Harbour Airport,SB,SB-ML,yes,ATD
Gwaunaru'u Airport,SB,SB-ML,yes,AKS
Bellona/Anua Airport,SB,SB-RB,yes,BNY
Choiseul Bay Airport,SB,SB-CH,yes,CHY
Ballalae Airport,SB,SB-WE,yes,BAS
Fera/Maringe Airport,SB,SB-IS,yes,FRE
Honiara International Airport,SB,SB-GU,yes,HIR
Babanakira Airport,SB,SB-GU,yes,MBU
Ngorangora Airport,SB,SB-MK,yes,IRA
Santa Cruz/Graciosa Bay/Luova Airport,SB,SB-TE,yes,SCZ
Munda Airport,SB,SB-WE,yes,MUA
Nusatupe Airport,SB,SB-WE,yes,GZO
Mono Airport,SB,SB-WE,yes,MNY
Rennell/Tingoa Airport,SB,SB-RB,yes,RNL
Santa Ana Airport,SB,SB-MK,yes,NNB
Marau Airport,SB,SB-GU,yes,RUS
Suavanao Airport,SB,SB-IS,yes,VAO
Yandina Airport,SB,SB-CE,yes,XYA
Kaghau Airport,SB,SB-CH,yes,KGE
Manaoba Airport,SB,SB-ML,yes,MHM
Gatokae Aerodrome,SB,SB-WE,yes,GTA
Ramata Airport,SB,SB-WE,yes,RBV
Ailinglaplap Airok Airport,MH,MH-ALL,yes,AIC
Naukati Bay Seaplane Base,US,US-AK,yes,NKI
Amook Bay Seaplane Base,US,US-AK,yes,AOS
Alitak Seaplane Base,US,US-AK,yes,ALZ
Mar de Cortés International Airport,MX,MX-SON,yes,PPE
Nauru International Airport,NR,NR-14,yes,INU
Aitape Airport,PG,PG-SAN,yes,ATP
Gruyere Airport,AU,AU-WA,yes,GYZ
Karara Airport,AU,AU-WA,yes,KQR
Hayman Island Resort Seaplane Base,AU,AU-QLD,yes,HIS
Alxa Left Banner Bayanhot Airport,CN,CN-15,yes,AXF
Buka Airport,PG,PG-NSB,yes,BUA
Chimbu Airport,PG,PG-CPK,yes,CMU
Daru Airport,PG,PG-WPD,yes,DAU
Goroka Airport,PG,PG-EHG,yes,GKA
Gurney Airport,PG,PG-MBA,yes,GUR
Girua Airport,PG,PG-NPP,yes,PNP
Hoskins Airport,PG,PG-WBK,yes,HKN
Aropa Airport,PG,PG-NSB,yes,KIE
Losuia Airport,PG,PG-MBA,yes,LSA
Kiunga Airport,PG,PG-WPD,yes,UNG
Kikori Airport,PG,PG-GPK,yes,KRI
Kerema Airport,PG,PG-GPK,yes,KMA
Kavieng Airport,PG,PG-NIK,yes,KVG
Londolovit Airport,PG,PG-NIK,yes,LNV
Madang Airport,PG,PG-MPM,yes,MAG
Mount Hagen Kagamuga Airport,PG,PG-WHM,yes,HGU
Mendi Airport,PG,PG-SHM,yes,MDU
Momote Airport,PG,PG-MRL,yes,MAS
Moro Airport,PG,PG-SHM,yes,MXH
Misima Island Airport,PG,PG-MBA,yes,MIS
Nadzab Airport,PG,PG-MPL,yes,LAE
Port Moresby Jacksons International Airport,PG,PG-NCD,yes,POM
Tari Airport,PG,PG-HE,yes,TIZ
Tabubil Airport,PG,PG-WPD,yes,TBG
Tapini Airport,PG,PG-CPM,yes,TPI
Tokua Airport,PG,PG-EBR,yes,RAB
Vanimo Airport,PG,PG-SAN,yes,VAI
Wapenamanda Airport,PG,PG-EPW,yes,WBM
Wewak International Airport,PG,PG-ESW,yes,WWK
Woitape Airport,PG,PG-CPM,yes,WTP
Yasuru Airport,PG,PG-MPL,yes,KSX
Aasiaat Airport,GL,GL-QK,yes,JEG
Narsarsuaq Airport,GL,GL-KU,yes,UAK
Neerlerit Inaat Airport,GL,GL-SE,yes,CNP
Nuuk Airport,GL,GL-SE,yes,GOH
Ilulissat Airport,GL,GL-AV,yes,JAV
Kulusuk Airport,GL,GL-SE,yes,KUS
Maniitsoq Airport,GL,GL-QA,yes,JSU
Paamiut Airport,GL,GL-SE,yes,JFR
Qaanaaq Airport,GL,GL-AV,yes,NAQ
Kangerlussuaq Airport,GL,GL-QA,yes,SFJ
Sisimiut Airport,GL,GL-QA,yes,JHS
Pituffik Space Base,GL,GL-AV,yes,THU
Upernavik Airport,GL,GL-AV,yes,JUV
Qaarsut Airport,GL,GL-AV,yes,JQA
Akureyri Airport,IS,IS-6,yes,AEY
Egilsstaðir Airport,IS,IS-7,yes,EGS
Grímsey Airport,IS,IS-6,yes,GRY
Hornafjörður Airport,IS,IS-8,yes,HFN
Húsavík Airport,IS,IS-6,yes,HZK
Ísafjörður Airport,IS,IS-4,yes,IFJ
Keflavik International Airport,IS,IS-2,yes,KEF
Reykjavik Airport,IS,IS-1,yes,RKV
Þórshöfn Airport,IS,IS-6,yes,THO
Vopnafjörður Airport,IS,IS-7,yes,VPN
Bentota River Waterdrome,LK,LK-1,yes,BJT
Priština Adem Jashari International Airport,XK,XK-01,yes,PRN
Rurrenabaque Airport,BO,BO-B,yes,RBQ
Bosset Airport,PG,PG-WPD,yes,BOT
Pedro Vieira Moreira Airport,BR,BR-PB,yes,CJZ
Glauber de Andrade Rocha Airport,BR,BR-BA,yes,VDC
Bimini North Seaplane Base,BS,BS-BI,yes,NSB
Hector Silva Airstrip,BZ,BZ-CY,yes,BCV
Caye Caulker Airport,BZ,BZ-BZ,yes,CUK
Caye Chapel Airport,BZ,BZ-BZ,yes,CYC
Corozal Municipal Airport,BZ,BZ-CZL,yes,CZH
Dangriga Airport,BZ,BZ-SC,yes,DGA
Independence Airport,BZ,BZ-SC,yes,INB
Placencia Airport,BZ,BZ-SC,yes,PLJ
Punta Gorda Airport,BZ,BZ-TOL,yes,PND
Sartaneja Airport,BZ,BZ-CZL,yes,SJX
John Greif II Airport,BZ,BZ-CY,yes,SPR
Sir Barry Bowen Municipal Airport,BZ,BZ-BZ,yes,TZA
Montague Harbour Seaplane Base,CA,CA-BC,yes,YMF
Bedwell Harbour Seaplane Base,CA,CA-BC,yes,YBW
Tofino Harbour Seaplane Base,CA,CA-BC,yes,YTP
Nanaimo Harbour Water Aerodrome,CA,CA-BC,yes,ZNA
Trail Regional Airport,CA,CA-BC,yes,YZZ
Campbell River Seaplane Base,CA,CA-BC,yes,YHH
Whistler/Green Lake Water Aerodrome,CA,CA-BC,yes,YWS
Bamfield Seaplane Base,CA,CA-BC,yes,YBF
Big Bay Seaplane Base,CA,CA-BC,yes,YIG
Anahim Lake Airport,CA,CA-BC,yes,YAA
Powell Lake Seaplane Base,CA,CA-BC,yes,WPL
Qualicum Beach Airport,CA,CA-BC,yes,XQU
Port McNeill Airport,CA,CA-BC,yes,YMP
Sullivan Bay Seaplane Base,CA,CA-BC,yes,YTG
Ganges Seaplane Base,CA,CA-BC,yes,YGG
Cache Creek-Ashcroft Regional Airport,CA,CA-BC,yes,YZA
Bella Bella (Campbell Island) Airport,CA,CA-BC,yes,ZEL
Williams Harbour Airport,CA,CA-NL,yes,YWM
Postville Airport,CA,CA-NL,yes,YSO
Black Tickle Airport,CA,CA-NL,yes,YBI
Charlottetown Airport,CA,CA-NL,yes,YHG
St. Lewis (Fox Harbour) Airport,CA,CA-NL,yes,YFX
Port Hope Simpson Airport,CA,CA-NL,yes,YHA
Rigolet Airport,CA,CA-NL,yes,YRG
Whatì Airport,CA,CA-NT,yes,YLE
Wekweètì Airport,CA,CA-NT,yes,YFJ
Craig Seaplane Base,US,US-AK,yes,CGA
Summer Beaver Airport,CA,CA-ON,yes,SUR
Crooked Creek Airport,US,US-AK,yes,CKD
Wapekeka Airport,CA,CA-ON,yes,YAX
Wunnumin Lake Airport,CA,CA-ON,yes,WNN
North Spirit Lake Airport,CA,CA-ON,yes,YNO
Chicken Airport,US,US-AK,yes,CKX
Tangshan Sannühe Airport,CN,CN-13,yes,TVS
Zhangjiakou Ningyuan Airport,CN,CN-13,yes,ZQZ
Baoshan Yunrui Airport,CN,CN-53,yes,BSD
Lincang Boshang Airport,CN,CN-53,yes,LNJ
Xigaze Peace Airport / Shigatse Air Base,CN,CN-54,yes,RKZ
Panzhihua Bao'anying Airport,CN,CN-51,yes,PZI
Foshan Shadi Airport,CN,CN-44,yes,FUO
Bazhong Enyang Airport,CN,CN-51,yes,BZX
Xinyang Minggang Airport,CN,CN-41,yes,XAI
Huizhou Pingtan Airport,CN,CN-44,yes,HUZ
Shaoguan Danxia Airport,CN,CN-44,yes,HSC
Jinggangshan Airport,CN,CN-36,yes,JGS
Baise Youjiang Airport,CN,CN-45,yes,AEB
Lianyungang Huaguoshan International Airport,CN,CN-32,yes,LYG
Altay Xuedu Airport,CN,CN-65,yes,AAT
Tianshui Maijishan Airport,CN,CN-62,yes,THQ
Zhangye Ganzhou Airport,CN,CN-62,yes,YZY
Dandong Langtou Airport,CN,CN-21,yes,DDG
Rikaze Dingri Airport,CN,CN-54,yes,DDR
Tashikuergan Hongqilafu Airport,CN,CN-65,yes,HQL
Zhanjiang Wuchuan Airport,CN,CN-44,yes,ZHA
Zhaosu Tianma Airport,CN,CN-65,yes,ZFL
Nantong Xingdong International Airport,CN,CN-32,yes,NTG
Bearskin Lake Airport,CA,CA-ON,yes,XBE
Natuashish Airport,CA,CA-NL,yes,YNP
Kingfisher Lake Airport,CA,CA-ON,yes,KIF
Ogoki Post Airport,CA,CA-ON,yes,YOG
La Chorrera Airport,CO,CO-AMA,yes,LCR
Tarapacá Airport,CO,CO-AMA,yes,TCD
Poplar Hill Airport,CA,CA-ON,yes,YHP
Keewaywin Airport,CA,CA-ON,yes,KEW
Chisasibi Airport,CA,CA-QC,yes,YKU
Tête-à-la-Baleine Airport,CA,CA-QC,yes,ZTB
Kégashka Airport,CA,CA-QC,yes,ZKG
La Romaine Airport,CA,CA-QC,yes,ZGS
La Tabatière Airport,CA,CA-QC,yes,ZLT
Lefkoniko Airport / Geçitkale Air Base,CY,CY-03,yes,GEC
Arctic Bay Airport,CA,CA-NU,yes,YAB
Cat Lake Airport,CA,CA-ON,yes,YAC
Fort Frances Municipal Airport,CA,CA-ON,yes,YAG
Alert Bay Airport,CA,CA-BC,yes,YAL
Sault Ste Marie Airport,CA,CA-ON,yes,YAM
Kasabonika Airport,CA,CA-ON,yes,XKS
Kangirsuk Airport,CA,CA-QC,yes,YKG
Attawapiskat Airport,CA,CA-ON,yes,YAT
St. Anthony Airport,CA,CA-NL,yes,YAY
Tofino / Long Beach Airport,CA,CA-BC,yes,YAZ
Kugaaruk Airport,CA,CA-NU,yes,YBB
Baie-Comeau Airport,CA,CA-QC,yes,YBC
Bella Coola Airport,CA,CA-BC,yes,QBC
Uranium City Airport,CA,CA-SK,yes,YBE
Bonnyville Airport,CA,CA-AB,yes,YBY
CFB Bagotville / Saguenay-Bagotville Airport,CA,CA-QC,yes,YBG
Baker Lake Airport,CA,CA-NU,yes,YBK
Campbell River Airport,CA,CA-BC,yes,YBL
Tadoule Lake Airport,CA,CA-MB,yes,XTL
Brandon Municipal Airport,CA,CA-MB,yes,YBR
Brochet Airport,CA,CA-MB,yes,YBT
Berens River Airport,CA,CA-MB,yes,YBV
Lourdes-de-Blanc-Sablon Airport,CA,CA-QC,yes,YBX
Cartwright Airport,CA,CA-NL,yes,YRF
Cambridge Bay Airport,CA,CA-NU,yes,YCB
Nanaimo Airport,CA,CA-BC,yes,YCD
Castlegar/West Kootenay Regional Airport,CA,CA-BC,yes,YCG
Miramichi Airport,CA,CA-NB,yes,YCH
Charlo Airport,CA,CA-NB,yes,YCL
Kugluktuk Airport,CA,CA-NU,yes,YCO
Cross Lake (Charlie Sinclair Memorial) Airport,CA,CA-MB,yes,YCR
Chesterfield Inlet Airport,CA,CA-NU,yes,YCS
Clyde River Airport,CA,CA-NU,yes,YCY
Dawson City Airport,CA,CA-YT,yes,YDA
Deer Lake Airport,CA,CA-NL,yes,YDF
Dease Lake Airport,CA,CA-BC,yes,YDL
Dauphin Barker Airport,CA,CA-MB,yes,YDN
Nain Airport,CA,CA-NL,yes,YDP
Edmonton International Airport,CA,CA-AB,yes,YEG
Arviat Airport,CA,CA-NU,yes,YEK
Fort Severn Airport,CA,CA-ON,yes,YER
Inuvik Mike Zubko Airport,CA,CA-NT,yes,YEV
Fort Albany Airport,CA,CA-ON,yes,YFA
Iqaluit Airport,CA,CA-NU,yes,YFB
Fredericton Airport,CA,CA-NB,yes,YFC
Fort Hope Airport,CA,CA-ON,yes,YFH
Flin Flon Airport,CA,CA-MB,yes,YFO
Fort Simpson Airport,CA,CA-NT,yes,YFS
Makkovik Airport,CA,CA-NL,yes,YMN
Fort Good Hope Airport,CA,CA-NT,yes,YGH
La Grande Rivière Airport,CA,CA-QC,yes,YGL
Gods Lake Narrows Airport,CA,CA-MB,yes,YGO
Michel-Pouliot Gaspé Airport,CA,CA-QC,yes,YGP
Îles-de-la-Madeleine Airport,CA,CA-QC,yes,YGR
Igloolik Airport,CA,CA-NU,yes,YGT
Havre-Saint-Pierre Airport,CA,CA-QC,yes,YGV
Kuujjuarapik Airport,CA,CA-QC,yes,YGW
Gillam Airport,CA,CA-MB,yes,YGX
Grise Fiord Airport,CA,CA-NU,yes,YGZ
Quaqtaq Airport,CA,CA-QC,yes,YQC
Vancouver Harbour Water Aerodrome,CA,CA-BC,yes,CXH
Dryden Regional Airport,CA,CA-ON,yes,YHD
Nemiscau Airport,CA,CA-QC,yes,YNS
Ulukhaktok Holman Airport,CA,CA-NT,yes,YHI
Gjoa Haven Airport,CA,CA-NU,yes,YHK
John C. Munro Hamilton International Airport,CA,CA-ON,yes,YHM
Hopedale Airport,CA,CA-NL,yes,YHO
Chevery Airport,CA,CA-QC,yes,YHR
Montréal / Saint-Hubert Airport,CA,CA-QC,yes,YHU
Hay River / Merlyn Carter Airport,CA,CA-NT,yes,YHY
Halifax / Stanfield International Airport,CA,CA-NS,yes,YHZ
St Augustin Airport,CA,CA-QC,yes,YIF
Ivujivik Airport,CA,CA-QC,yes,YIK
Pond Inlet Airport,CA,CA-NU,yes,YIO
Island Lake Airport,CA,CA-MB,yes,YIV
Kamloops John Moose Fulton Field Regional Airport,CA,CA-BC,yes,YKA
Aklavik/Freddie Carmichael Airport,CA,CA-NT,yes,LAK
Region of Waterloo International Airport,CA,CA-ON,yes,YKF
Kangiqsujuaq (Wakeham Bay) Airport,CA,CA-QC,yes,YWB
Schefferville Airport,CA,CA-QC,yes,YKL
Akulivik Airport,CA,CA-QC,yes,AKV
Waskaganish Airport,CA,CA-QC,yes,YKQ
Aupaluk Airport,CA,CA-QC,yes,YPJ
Kimmirut Airport,CA,CA-NU,yes,YLC
Lansdowne House Airport,CA,CA-ON,yes,YLH
Lutselk'e Airport,CA,CA-NT,yes,YSG
Lloydminster Airport,CA,CA-AB,yes,YLL
Barrie-Lake Simcoe Regional Airport,CA,CA-ON,yes,YLK
Kangiqsualujjuaq (Georges River) Airport,CA,CA-QC,yes,XGR
Kelowna International Airport,CA,CA-BC,yes,YLW
Chatham Seaplane Base,US,US-AK,yes,CYM
Mary's Harbour Airport,CA,CA-NL,yes,YMH
Fort McMurray Airport,CA,CA-AB,yes,YMM
Moosonee Airport,CA,CA-ON,yes,YMO
Chapais Airport,CA,CA-QC,yes,YMT
Umiujaq Airport,CA,CA-QC,yes,YUD
Natashquan Airport,CA,CA-QC,yes,YNA
Wemindji Airport,CA,CA-QC,yes,YNC
Ottawa / Gatineau Airport,CA,CA-QC,yes,YND
Norway House Airport,CA,CA-MB,yes,YNE
Points North Landing Airport,CA,CA-SK,yes,YNL
Old Crow Airport,CA,CA-YT,yes,YOC
Oxford House Airport,CA,CA-MB,yes,YOH
High Level Airport,CA,CA-AB,yes,YOJ
Ottawa Macdonald-Cartier International Airport,CA,CA-ON,yes,YOW
Prince Albert Glass Field,CA,CA-SK,yes,YPA
Paulatuk (Nora Aliqatchialuk Ruben) Airport,CA,CA-NT,yes,YPC
Peace River Airport,CA,CA-AB,yes,YPE
Inukjuak Airport,CA,CA-QC,yes,YPH
Pickle Lake Airport,CA,CA-ON,yes,YPL
Pikangikum Airport,CA,CA-ON,yes,YPM
Port-Menier Airport,CA,CA-QC,yes,YPN
Peawanuck Airport,CA,CA-ON,yes,YPO
Prince Rupert Airport,CA,CA-BC,yes,YPR
Powell River Airport,CA,CA-BC,yes,YPW
Puvirnituq Airport,CA,CA-QC,yes,YPX
Fort Chipewyan Airport,CA,CA-AB,yes,YPY
Burns Lake Airport,CA,CA-BC,yes,YPZ
Muskoka Airport,CA,CA-ON,yes,YQA
Quebec Jean Lesage International Airport,CA,CA-QC,yes,YQB
The Pas Airport,CA,CA-MB,yes,YQD
Windsor Airport,CA,CA-ON,yes,YQG
Watson Lake Airport,CA,CA-YT,yes,YQH
Kenora Airport,CA,CA-ON,yes,YQK
Lethbridge County Airport,CA,CA-AB,yes,YQL
Greater Moncton Roméo LeBlanc International Airport,CA,CA-NB,yes,YQM
Nakina Airport,CA,CA-ON,yes,YQN
Comox Valley Airport / CFB Comox,CA,CA-BC,yes,YQQ
Regina International Airport,CA,CA-SK,yes,YQR
Thunder Bay Airport,CA,CA-ON,yes,YQT
Grande Prairie Airport,CA,CA-AB,yes,YQU
Gander International Airport / CFB Gander,CA,CA-NL,yes,YQX
Sydney / J.A. Douglas McCurdy Airport,CA,CA-NS,yes,YQY
Quesnel Airport,CA,CA-BC,yes,YQZ
Rae Lakes Airport,CA,CA-NT,yes,YRA
Resolute Bay Airport,CA,CA-NU,yes,YRB
Roberval Airport,CA,CA-QC,yes,YRJ
Red Lake Airport,CA,CA-ON,yes,YRL
Red Sucker Lake Airport,CA,CA-MB,yes,YRS
Rankin Inlet Airport,CA,CA-NU,yes,YRT
Sudbury Airport,CA,CA-ON,yes,YSB
Stony Rapids Airport,CA,CA-SK,yes,YSF
Saint John Airport,CA,CA-NB,yes,YSJ
Sanikiluaq Airport,CA,CA-NU,yes,YSK
Fort Smith Airport,CA,CA-NT,yes,YSM
Niagara District Airport,CA,CA-ON,yes,YCM
St. Theresa Point Airport,CA,CA-MB,yes,YST
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,CA,CA-NT,yes,YSY
Cape Dorset Airport,CA,CA-NU,yes,YTE
Thompson Airport,CA,CA-MB,yes,YTH
Big Trout Lake Airport,CA,CA-ON,yes,YTL
Tasiujaq Airport,CA,CA-QC,yes,YTQ
Timmins/Victor M. Power,CA,CA-ON,yes,YTS
Billy Bishop Toronto City Centre Airport,CA,CA-ON,yes,YTZ
Montreal / Pierre Elliott Trudeau International Airport,CA,CA-QC,yes,YUL
Naujaat Airport,CA,CA-NU,yes,YUT
Hall Beach Airport,CA,CA-NU,yes,YUX
Rouyn Noranda Airport,CA,CA-QC,yes,YUY
Bonaventure Airport,CA,CA-QC,yes,YVB
La Ronge Airport,CA,CA-SK,yes,YVC
Tommy Kochon Airport,CA,CA-NT,yes,YCK
Qikiqtarjuaq Airport,CA,CA-NU,yes,YVM
Val-d'Or Airport,CA,CA-QC,yes,YVO
Kuujjuaq Airport,CA,CA-QC,yes,YVP
Norman Wells Airport,CA,CA-NT,yes,YVQ
Vancouver International Airport,CA,CA-BC,yes,YVR
Wiarton Airport,CA,CA-ON,yes,YVV
Deer Lake Airport,CA,CA-ON,yes,YVZ
Winnipeg / James Armstrong Richardson International Airport,CA,CA-MB,yes,YWG
Victoria Harbour Seaplane Base,CA,CA-BC,yes,YWH
Déline Airport,CA,CA-NT,yes,YWJ
Wabush Airport,CA,CA-NL,yes,YWK
Williams Lake Airport,CA,CA-BC,yes,YWL
Webequie Airport,CA,CA-ON,yes,YWP
Cranbrook/Canadian Rockies International Airport,CA,CA-BC,yes,YXC
Saskatoon John G. Diefenbaker International Airport,CA,CA-SK,yes,YXE
Medicine Hat Regional Airport,CA,CA-AB,yes,YXH
Fort St John / North Peace Regional Airport,CA,CA-BC,yes,YXJ
Rimouski Airport,CA,CA-QC,yes,YXK
Sioux Lookout Airport,CA,CA-ON,yes,YXL
Whale Cove Airport,CA,CA-NU,yes,YXN
Pangnirtung Airport,CA,CA-NU,yes,YXP
Prince George Airport,CA,CA-BC,yes,YXS
Northwest Regional Airport Terrace-Kitimat,CA,CA-BC,yes,YXT
London Airport,CA,CA-ON,yes,YXU
Abbotsford International Airport,CA,CA-BC,yes,YXX
Whitehorse / Erik Nielsen International Airport,CA,CA-YT,yes,YXY
North Bay Jack Garland Airport,CA,CA-ON,yes,YYB
Calgary International Airport,CA,CA-AB,yes,YYC
Smithers Airport,CA,CA-BC,yes,YYD
Fort Nelson Airport,CA,CA-BC,yes,YYE
Penticton Airport,CA,CA-BC,yes,YYF
Charlottetown Airport,CA,CA-PE,yes,YYG
Taloyoak Airport,CA,CA-NU,yes,YYH
Victoria International Airport,CA,CA-BC,yes,YYJ
Lynn Lake Airport,CA,CA-MB,yes,YYL
Churchill Airport,CA,CA-MB,yes,YYQ
Goose Bay Airport,CA,CA-NL,yes,YYR
St. John's International Airport,CA,CA-NL,yes,YYT
Mont Joli Airport,CA,CA-QC,yes,YYY
Toronto Lester B. Pearson International Airport,CA,CA-ON,yes,YYZ
Yellowknife International Airport,CA,CA-NT,yes,YZF
Salluit Airport,CA,CA-QC,yes,YZG
Sandspit Airport,CA,CA-BC,yes,YZP
Coral Harbour Airport,CA,CA-NU,yes,YZS
Port Hardy Airport,CA,CA-BC,yes,YZT
Whitecourt Airport,CA,CA-AB,yes,YZU
Sept-Îles Airport,CA,CA-QC,yes,YZV
York Landing Airport,CA,CA-MB,yes,ZAC
Ilford Airport,CA,CA-MB,yes,ILF
Bathurst Airport,CA,CA-NB,yes,ZBF
Eastmain River Airport,CA,CA-QC,yes,ZEM
Fond-du-Lac Airport,CA,CA-SK,yes,ZFD
Pukatawagan Airport,CA,CA-MB,yes,XPK
Fort Mcpherson Airport,CA,CA-NT,yes,ZFM
Tulita Airport,CA,CA-NT,yes,ZFN
Gods River Airport,CA,CA-MB,yes,ZGI
Little Grand Rapids Airport,CA,CA-MB,yes,ZGR
Kashechewan Airport,CA,CA-ON,yes,ZKE
Muskrat Dam Airport,CA,CA-ON,yes,MSA
Masset Airport,CA,CA-BC,yes,ZMT
Chisana Airport,US,US-AK,yes,CZN
Poplar River Airport,CA,CA-MB,yes,XPP
Sachigo Lake Airport,CA,CA-ON,yes,ZPB
Round Lake (Weagamow Lake) Airport,CA,CA-ON,yes,ZRJ
Sandy Lake Airport,CA,CA-ON,yes,ZSJ
South Indian Lake Airport,CA,CA-MB,yes,XSI
Bloodvein River Airport,CA,CA-MB,yes,YDV
Shamattawa Airport,CA,CA-MB,yes,ZTM
Churchill Falls Airport,CA,CA-NL,yes,ZUM
Lac Brochet Airport,CA,CA-MB,yes,XLB
Wollaston Lake Airport,CA,CA-SK,yes,ZWL
Delta Junction Airport,US,US-AK,yes,DJN
Soummam–Abane Ramdane Airport,DZ,DZ-06,yes,BJA
Houari Boumediene Airport,DZ,DZ-16,yes,ALG
Djanet Inedbirene Airport,DZ,DZ-56,yes,DJG
Illizi Takhamalt Airport,DZ,DZ-33,yes,VVZ
Ain Arnat Airport,DZ,DZ-19,yes,QSF
Aguenar – Hadj Bey Akhamok Airport,DZ,DZ-11,yes,TMR
Jijel Ferhat Abbas Airport,DZ,DZ-18,yes,GJL
Annaba Rabah Bitat Airport,DZ,DZ-23,yes,AAE
Mohamed Boudiaf International Airport,DZ,DZ-25,yes,CZL
Cheikh Larbi Tébessi Airport,DZ,DZ-12,yes,TEE
Batna Mostefa Ben Boulaid Airport,DZ,DZ-05,yes,BLJ
Hassi R'Mel Airport,DZ,DZ-03,yes,HRM
Tindouf Airport,DZ,DZ-37,yes,TIN
Chlef Aboubakr Belkaid International Airport,DZ,DZ-02,yes,CFK
Zenata – Messali El Hadj Airport,DZ,DZ-13,yes,TLM
Oran Es-Sénia (Ahmed Ben Bella) International Airport,DZ,DZ-31,yes,ORN
Béchar Boudghene Ben Ali Lotfi Airport,DZ,DZ-08,yes,CBH
Bordj Badji Mokhtar Airport,DZ,DZ-52,yes,BMW
Touat Cheikh Sidi Mohamed Belkebir Airport,DZ,DZ-01,yes,AZR
Biskra - Mohamed Khider Airport,DZ,DZ-07,yes,BSK
El Golea Airport,DZ,DZ-50,yes,ELG
Noumérat - Moufdi Zakaria Airport,DZ,DZ-47,yes,GHA
Hassi Messaoud-Oued Irara Krim Belkacem Airport,DZ,DZ-30,yes,HME
In Salah Airport,DZ,DZ-57,yes,INZ
Touggourt Sidi Madhi Airport,DZ,DZ-55,yes,TGR
Guemar Airport,DZ,DZ-39,yes,ELU
Timimoun Airport,DZ,DZ-54,yes,TMX
Ain Beida Airport,DZ,DZ-30,yes,OGX
Zarzaitine - In Aménas Airport,DZ,DZ-33,yes,IAM
Cadjehoun Airport,BJ,BJ-AQ,yes,COO
Baicheng Chang'an Airport,CN,CN-22,yes,DBC
Nop Goliat Dekai Airport,ID,ID-PP,yes,DEX
Ouagadougou Airport,BF,BF-KAD,yes,OUA
Bobo Dioulasso Airport,BF,BF-HOU,yes,BOY
Kotoka International Airport,GH,GH-AA,yes,ACC
Tamale Airport,GH,GH-NP,yes,TML
Kumasi Airport,GH,GH-AH,yes,KMS
Sunyani Airport,GH,GH-BO,yes,NYI
Takoradi Airport,GH,GH-WP,yes,TKD
Deer Harbor SPB,US,US-WA,yes,DHB
Félix-Houphouët-Boigny International Airport,CI,CI-AB,yes,ABJ
Bouaké Airport,CI,CI-VB,yes,BYK
Dalnerechensk Airport,RU,RU-PRI,yes,DLR
Nnamdi Azikiwe International Airport,NG,NG-FC,yes,ABV
Akwa Ibom International Airport,NG,NG-AK,yes,QUO
Akure Airport,NG,NG-ON,yes,AKR
Sir Abubakar Tafawa Balewa International Airport,NG,NG-BA,yes,BCU
Benin Airport,NG,NG-ED,yes,BNI
Margaret Ekpo International Airport,NG,NG-CR,yes,CBQ
Akanu Ibiam International Airport,NG,NG-EN,yes,ENU
Ibadan Airport,NG,NG-OY,yes,IBA
Ilorin International Airport,NG,NG-KW,yes,ILR
Sam Mbakwe International Airport,NG,NG-IM,yes,QOW
Yakubu Gowon Airport,NG,NG-PL,yes,JOS
Kaduna Airport,NG,NG-KD,yes,KAD
Mallam Aminu International Airport,NG,NG-KN,yes,KAN
Maiduguri International Airport,NG,NG-BO,yes,MIU
Makurdi Airport,NG,NG-BE,yes,MDI
Murtala Muhammed International Airport,NG,NG-LA,yes,LOS
Port Harcourt International Airport,NG,NG-RI,yes,PHC
Sadiq Abubakar III International Airport,NG,NG-SO,yes,SKO
Yola Airport,NG,NG-AD,yes,YOL
Deputatskiy Airport,RU,RU-SA,yes,DPT
Daqing Sa'ertu Airport,CN,CN-23,yes,DQA
